"Name","Passes completed","Short passes","Mid-range passes","Long passes"
"Moussa Sissoko",140,40,91,9
"Danijel Subašic",75,6,37,32
"Mats Hummels",312,48,240,24
"Yann Sommer",110,9,86,15
"Milan Badelj",182,39,122,21
"Vedran Corluka",201,21,147,33
"Johan Djourou",235,38,177,20
"Gianluigi Buffon",130,8,88,34
"Darijo Srna",120,30,78,12
"Stephan Lichtsteiner",93,26,63,4
"Marco Parolo",128,42,76,10
"Joshua Kimmich",213,44,150,19
"Granit Xhaka",364,66,238,60
"Ricardo Rodríguez",195,46,136,13
"Lukasz Fabianski",122,0,61,61
"Lukasz Piszczek",158,44,107,7
"Benedikt Höwedes",218,50,153,15
"Aron Gunnarsson",112,23,79,10
"José Fonte",166,20,131,15
"Hannes Halldórsson",108,4,46,58
"Birkir Sævarsson",71,14,43,14
"Wayne Hennessey",103,4,52,47
"Thibaut Courtois",75,7,40,28
"Ben Davies",155,38,94,23
"Cédric",123,37,79,7
"Andrea Barzagli",238,26,185,27
"Artur Jedrzejczyk",159,52,96,11
"Kamil Glik",205,17,156,32
"Grzegorz Krychowiak",278,47,203,28
"Michal Pazdan",178,17,147,14
"William Carvalho",312,58,203,51
"James Chester",277,51,209,17
"Manuel Neuer",192,15,139,38
"Pepe",279,43,185,51
"Laurent Koscielny",307,43,229,35
"Hugo Lloris",124,4,62,58
"Patrice Evra",245,71,165,9
"Rui Patrício",158,11,100,47
