"Name","Passing accuracy (%)","Passes attempted","Passes completed"
"Andi Lila",77,42,33
"Nicolae Stanciu",70,76,53
"Burim Kukeli",92,99,92
"Serhiy Sydorchuk",89,54,47
"Ádám Pintér",76,67,59
"Martin Harnik",74,38,29
"Albin Ekdal",88,83,69
"Viktor Kovalenko",97,60,57
"Gergo Lovrencsics",81,55,46
"Arlind Ajeti",89,49,43
"Roman Zozulya",73,24,18
"Richard Keogh",91,35,32
"Tomáš Hubocan",83,47,39
"Caner Erkin",71,80,57
"David Limberský",72,45,34
"Ciaran Clark",87,47,42
"Glenn Whelan",89,87,78
"Vyacheslav Shevchuk",80,64,52
"Yaroslav Rakitskiy",81,121,101
"Conor Washington",75,16,11
"Breel Embolo",77,41,31
"Raheem Sterling",70,56,42
"Marcel Sabitzer",76,65,49
"John O'Shea",79,48,38
"Daniele De Rossi",85,115,98
"Bartosz Kapustka",76,65,53
"Eliseu",87,98,85
"Kyle Lafferty",46,26,14
"James McClean",77,42,33
"Stefano Sturaro",65,40,31
"Jamie Ward",61,39,27
"Adam Lallana",90,90,81
"Danilo",92,123,114
"Erik Johansson",90,99,93
"Ovidiu Hoban",77,98,82
"Mario Götze",95,72,67
"Harry Kane",72,50,36
"Fedor Smolov",74,55,41
"Arda Turan",87,113,99
"Selçuk Inan",84,141,119
"Sebastian Larsson",85,75,64
"Emil Forsberg",78,72,57
"Roland Juhász",90,159,145
"Aleksandr Kokorin",76,77,60
"Ermir Lenjani",75,45,35
"Corry Evans",86,56,48
"Jaroslav Plašil",87,91,79
"Mario Mandžukic",73,71,52
"Julian Baumgartlinger",90,177,159
"Artem Dzyuba",65,55,36
"Artem Fedetskiy",74,104,79
"Andreas Granqvist",84,136,117
"Florian Klein",72,88,66
"Ciprian Tatarusanu",67,85,56
"Taras Stepanenko",86,163,143
"Danny Rose",89,177,158
"Martin Olsson",87,111,97
"Tamás Kádár",87,197,175
"Igor Smolnikov",88,120,106
"Cristian Sapunaru",86,72,63
"Robert Almer",85,102,86
"Roman Hubník",84,104,88
"Hakan Balta",85,104,89
"Petr Cech",63,99,62
"Kim Källström",80,174,139
"Sergei Ignashevich",88,189,168
"Ansi Agolli",78,108,86
"Tomáš Sivok",92,102,94
"Andreas Isaksson",56,87,50
"Aaron Hughes",71,46,33
"Ricardo Carvalho",99,174,172
"Volkan Babacan",49,74,36
"Stephen Ward",83,86,72
"Vieirinha",81,130,106
"Andriy Pyatov",74,102,76
"Christian Fuchs",81,148,121
"Igor Akinfeev",74,83,60
"Martin Hinteregger",86,167,147
"Elseid Hysaj",76,105,82
"Vladimír Darida",81,148,123
"Victor Lindelöf",84,117,100
"Ádám Nagy",95,158,150
"Andriy Yarmolenko",84,93,78
"Etrit Berisha",60,103,62
"Marko Arnautovic",79,88,70
"Gökhan Gönül",78,82,63
"Yevhen Konoplyanka",83,115,97
"Ladislav Krejcí",83,50,42
"Yevhen Khacheridi",93,135,124
"Vlad Chiriches",85,112,99
"Dragos Grigore",85,111,98
"Kyle Walker",82,136,112
"Mërgim Mavraj",83,109,90
"Amir Abrashi",90,119,109
"Pavel Kaderábek",72,68,49
"Kingsley Coman",85,119,102
"Haris Seferovic",54,63,47
"James McCarthy",80,85,69
"Domagoj Vida",97,144,140
"Ivan Strinic",82,118,97
"Samuel Umtiti",96,216,210
"Blerim Džemaili",85,101,86
"Mattia De Sciglio",71,115,82
"Adrien Silva",87,163,143
"David Silva",87,200,174
"Sami Khedira",89,273,245
"Alessandro Florenzi",72,118,85
"Valon Behrami",95,231,219
"Shane Long",76,52,38
"Krzysztof Maczynski",87,148,132
"Sergio Busquets",94,298,281
"Juraj Kucka",82,164,137
"Chris Smalling",96,191,185
"Jeff Hendrick",82,138,114
"Ádám Lang",88,180,161
"Richárd Guzmics",85,190,169
"Jonny Evans",77,121,93
"Craig Cathcart",78,68,52
"Gary Cahill",91,210,194
"David de Gea",85,93,77
"Jan Vertonghen",84,159,134
"Joe Hart",88,104,90
"Juanfran",86,160,138
"Michael McGovern",41,117,48
"Peter Pekarík",84,119,100
"Ján Durica",85,165,140
"Thomas Vermaelen",95,139,132
"Darren Randolph",48,99,47
"Sergio Ramos",94,310,295
"Martin Škrtel",85,193,172
"Steven Davis",83,124,104
"Gábor Király",90,160,144
"Matúš Kozácik",57,120,68
"Joe Ledley",92,169,157
"Moussa Sissoko",73,156,140
"Danijel Subašic",66,112,75
